cenario,catalise,bioquimica,tempo_apos_formacao_gyr,tempo_cosmico_gyr,temperatura_k
Rapido,fixa,Carbono/agua,0.397388,9.96235,328.843
Rapido,fixa,Carbono/agua,0.388129,6.6719,300.474
Rapido,fixa,Carbono/agua,1.46018,5.8247,301.236
Rapido,fixa,Carbono/agua,0.394684,6.2261,324.99
Rapido,fixa,Carbono/agua,4.79908,7.66558,277.537
Rapido,fixa,Carbono/agua,0.333264,5.14564,341.98
Rapido,fixa,Carbono/agua,4.2558,16.5468,293.492
Rapido,fixa,Carbono/agua,0.441397,9.85981,322.798
Rapido,fixa,Carbono/agua,0.517034,10.057,320.112
Rapido,fixa,Carbono/agua,0.622161,10.2257,310.033
Rapido,fixa,Carbono/agua,1.09971,8.26593,300.508
Rapido,fixa,Carbono/agua,9.2994,15.1137,292.762
Rapido,fixa,Carbono/agua,0.361605,13.4883,343.543
Rapido,fixa,Carbono/agua,0.549945,6.65596,319.902
Rapido,fixa,Carbono/agua,4.382,7.27818,292.298
Rapido,fixa,Carbono/agua,0.422059,7.22103,341.654
Rapido,fixa,Carbono/agua,0.929742,3.57926,318.001
Rapido,fixa,Carbono/agua,8.72591,12.5502,278.451
Rapido,fixa,Carbono/agua,3.57666,6.18727,296.738
Rapido,fixa,Carbono/agua,1.22608,8.13005,304.009
Rapido,fixa,Carbono/agua,0.370238,2.36015,338.692
Rapido,fixa,Carbono/agua,2.37083,5.61035,299.908
Rapido,fixa,Carbono/agua,1.72227,4.49637,292.022
Rapido,fixa,Carbono/agua,0.324246,6.63433,350.9
Rapido,fixa,Carbono/agua,3.14295,10.2779,289.079
Rapido,fixa,Carbono/agua,0.414849,3.09257,335.653
Rapido,fixa,Carbono/agua,0.487251,8.90629,307.588
Rapido,fixa,Carbono/agua,0.601442,8.29585,319.072
Rapido,fixa,Carbono/agua,0.982991,4.80064,282.469
Rapido,fixa,Carbono/agua,0.549667,8.90389,305.77
Rapido,fixa,Carbono/agua,0.943463,6.77351,300.607
Rapido,fixa,Carbono/agua,0.336973,4.95643,334.838
Rapido,fixa,Carbono/agua,0.399457,6.32442,341.325
Rapido,fixa,Carbono/agua,2.64099,8.33316,292.878
Rapido,fixa,Carbono/agua,0.980227,6.72773,308.404
Rapido,fixa,Carbono/agua,0.827128,10.9678,311.991
Rapido,fixa,Carbono/agua,3.3065,9.98855,290.417
Rapido,fixa,Carbono/agua,1.61031,7.41348,277.439
Rapido,fixa,Carbono/agua,1.45758,3.31553,297.521
Rapido,fixa,Carbono/agua,0.557139,9.95569,325.882
Rapido,fixa,Carbono/agua,0.333,13.2042,321.536
Rapido,fixa,Carbono/agua,2.27228,11.3172,293.172
Rapido,fixa,Carbono/agua,0.56684,8.42447,309.778
Rapido,fixa,Carbono/agua,4.48959,14.3895,290.34
Rapido,fixa,Carbono/agua,0.382232,5.88405,333.623
Rapido,fixa,Carbono/agua,0.758319,10.9825,288.486
Rapido,fixa,Carbono/agua,0.499563,10.432,325.018
Rapido,fixa,Carbono/agua,0.662646,5.38009,308.737
Rapido,fixa,Carbono/agua,0.943594,6.26123,291.444
Rapido,fixa,Carbono/agua,0.386707,3.5003,337.446
Rapido,fixa,Carbono/agua,0.648885,8.36311,305.311
Rapido,fixa,Carbono/agua,2.60437,11.6458,285.707
Rapido,fixa,Carbono/agua,3.80985,7.74075,292.801
Rapido,fixa,Carbono/agua,0.478463,9.63191,312.712
Rapido,fixa,Carbono/agua,0.374167,5.20886,341.955
Rapido,fixa,Carbono/agua,0.324687,3.47616,346.716
Rapido,fixa,Carbono/agua,0.517668,9.99559,328.513
Rapido,fixa,Carbono/agua,1.0311,6.79028,307.181
Rapido,fixa,Carbono/agua,0.3507,3.27327,335.36
Rapido,fixa,Carbono/agua,0.591769,5.11241,322.117
Rapido,fixa,Carbono/agua,1.855,8.1112,299.959
Rapido,fixa,Carbono/agua,1.7964,2.64688,301.041
Rapido,fixa,Carbono/agua,11.7047,14.2745,287.793
Rapido,fixa,Carbono/agua,1.45035,12.9937,308.787
Rapido,fixa,Carbono/agua,0.582122,6.01651,317.579
Rapido,fixa,Carbono/agua,5.16886,12.4335,280.63
Rapido,fixa,Carbono/agua,3.3613,10.8568,289.602
